"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpy",4,583985835,145996458,39.96793646459493
"hipEventSynchronize",16,562871920,35179495,38.522902077350146
"hipStreamCreate",4,289093703,72273425,19.785546260413106
"hipHostMalloc",1,16627995,16627995,1.1380184378848883
"hipHostFree",1,3777398,3777398,0.2585247692959675
"hipMemcpyAsync",16,2792738,174546,0.19113473008512255
"hipEventRecord",32,727935,22747,0.0498198039860931
"hipStreamDestroy",4,644151,161037,0.04408563478531168
"hipLaunchKernel",13,486758,37442,0.03331367244144423
"hipFree",1,45648,45648,0.0031241448925483427
"hipMalloc",1,41871,41871,0.0028656473623355164
"hipEventElapsedTime",16,26152,1634,0.001789840458068793
"hipEventDestroy",10,5211,521,0.0003566403574103885
"__hipPushCallConfiguration",13,3187,245,0.00021811798485260183
"hipEventCreate",10,2907,290,0.0001989548107833428
"__hipPopCallConfiguration",13,2408,185,0.00016480329699562762
